ADNP,Q9H2P0
ADNP2,Q6IQ32
AEBP1,Q8IUX7
AHR,P35869
AHRR,A9YTQ3
ALX1,Q15699
ALX3,O95076
ALX4,Q9H161
ANHX,E9PGG2
AR,P10275
ARGFX,A6NJG6
ARNT,P27540
ARNT2,Q9HBZ2
ARNTL,O00327
ARNTL2,Q8WYA1
ARX,Q96QS3
ASCL1,P50553
ASCL2,Q99929
ASCL3,Q9NQ33
ASCL4,Q6XD76
ASCL5,Q7RTU5
ATF1,P18846
ATF2,P15336
ATF3,P18847
ATF4,P18848
ATF5,Q9Y2D1
ATF6,P18850
ATF6B,Q99941
ATF7,P17544
ATMIN,O43313
ATOH1,Q92858
ATOH7,Q8N100
ATOH8,Q96SQ7
BACH1,O14867
BACH2,Q9BYV9
BARHL1,Q9BZE3
BARHL2,Q9NY43
BARX1,Q9HBU1
BARX2,Q9UMQ3
BATF,Q16520
BATF2,Q8N1L9
BATF3,Q9NR55
BBX,Q8WY36
BCL11A,Q9H165
BCL11B,Q9C0K0
BCL6,P41182
BCL6B,Q8N143
BHLHA15,Q7RTS1
BHLHA9,Q7RTU4
BHLHE22,Q8NFJ8
BHLHE23,Q8NDY6
BHLHE40,O14503
BHLHE41,Q9C0J9
BNC1,Q01954
BNC2,Q6ZN30
BSX,Q3C1V8
CARF,Q8N187
CASZ1,Q86V15
CC2D1A,Q6P1N0
CC2D1B,Q5T0F9
CDC5L,Q99459
CDX1,P47902
CDX2,Q99626
CDX4,O14627
CEBPA,P49715
CEBPB,P17676
CEBPD,P49716
CEBPE,Q15744
CEBPG,P53567
CIC,Q96RK0
CLOCK,O15516
CPHXL,A0A1W2PPM1
CREB1,P16220
CREB3,O43889
CREB3L1,Q96BA8
CREB3L2,Q70SY1
CREB3L3,Q68CJ9
CREB3L4,Q8TEY5
CREB5,Q02930
CREBL2,O60519
CREBRF,Q8IUR6
CREBZF,Q9NS37
CREM,Q03060
CRX,O43186
CSRNP1,Q96S65
CSRNP2,Q9H175
CSRNP3,Q8WYN3
CTCF,P49711
CTCFL,Q8NI51
CUX1,P39880
CUX2,O14529
DACH1,Q9UI36
DACH2,Q96NX9
DBP,Q10586
DBX1,A6NMT0
DBX2,Q6ZNG2
DDIT3,P35638
DEAF1,O75398
DLX1,P56177
DLX2,Q07687
DLX3,O60479
DLX4,Q92988
DLX5,P56178
DLX6,P56179
